Name,Distillery,Category,Region,Country,Age,ABV (%),Cask Type,Peat Level,Vintage,Bottler
The Gospel Single Malt,The Gospel Distillery,Single Malt,Australia,Australia,NAS,46,Ex-Bourbon,None,,Official
The Mackinlay's Rare Old Highland Malt,The Mackinlay Distillery,Single Malt,Australia,Australia,15,43,Ex-Sherry,None,,Official
The Sullivans Cove Cask Strength,Sullivan's Cove Distillery,Single Malt,Australia,Australia,NAS,61.1,Ex-Bourbon,None,,Official
Timboon Artisan Distillery Single Malt,Timboon Distillery,Single Malt,Australia,Australia,NAS,40,Ex-Bourbon,None,,Official
Westward American Single Malt,Westward Distillery,Single Malt,Australia,Australia,NAS,45,Ex-Bourbon,None,,Official
Black Velvet Canadian Whisky,Black Velvet Distillery,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Bushmills Canadian Whiskey,Bushmills Distillery,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Cadillac Beer Whisky,Cadillac Distillery,Canadian Whisky,Canada,Canada,NAS,40,,None,,Official
Campbellton Canadian Whisky,Campbellton Distillery,Canadian Whisky,Canada,Canada,NAS,40,,None,,Official
Canadian Club 100% Rye,Canadian Club,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Canadian Club 20 Year Old,Canadian Club,Canadian Whisky,Canada,Canada,20,40,Ex-Bourbon,None,,Official
Canadian Club 9 Year Old,Canadian Club,Canadian Whisky,Canada,Canada,9,40,Ex-Bourbon,None,,Official
Canadian Club Sherry Cask,Canadian Club,Canadian Whisky,Canada,Canada,NAS,40,Sherry,None,,Official
Canadian Gold,Canadian Gold Distillery,Canadian Whisky,Canada,Canada,NAS,40,,None,,Official
Canadian Highlander,Canadian Highlander Distillery,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Canadian Mist,Canadian Mist Distillery,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Caribou Crossing,Caribou Crossing Distillery,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Collingwood Canadian Whisky,Brown-Forman,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Crown Royal,Diageo,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Crown Royal 2017 Reserva,Diageo,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,2017,Official
Crown Royal Black,Diageo,Canadian Whisky,Canada,Canada,NAS,45,Ex-Bourbon,None,,Official
Crown Royal Maple Finished,Diageo,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Crown Royal Vanilla,Diageo,Canadian Whisky,Canada,Canada,NAS,35,Ex-Bourbon,None,,Official
Crown Royal XR,Diageo,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Don Livio Rum Cask,Still Waters Distillery,Canadian Whisky,Canada,Canada,NAS,43,Rum,None,,Official
Evan Williams Canadian Whisky,Heaven Hill Distilleries,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Forty Creek,Forty Creek Distillery,Canadian Whisky,Canada,Canada,NAS,43,Ex-Bourbon,None,,Official
Forty Creek 2016 Limited Edition,Forty Creek Distillery,Canadian Whisky,Canada,Canada,NAS,51.5,Ex-Bourbon,None,2016,Official
Forty Creek Canadian Whisky,Forty Creek Distillery,Canadian Whisky,Canada,Canada,NAS,43,Ex-Bourbon,None,,Official
Forty Creek Canadian Whisky - Barrel Select,Forty Creek Distillery,Canadian Whisky,Canada,Canada,NAS,43,Ex-Bourbon,None,,Official
Forty Creek Copper Pot,Forty Creek Distillery,Canadian Whisky,Canada,Canada,NAS,43,Ex-Bourbon,None,,Official
Forty Creek Double Barrel,Forty Creek Distillery,Canadian Whisky,Canada,Canada,NAS,42,Ex-Bourbon,None,,Official
Forty Creek Whisky - Barrel Select,Forty Creek Distillery,Canadian Whisky,Canada,Canada,NAS,43,Ex-Bourbon,None,,Official
Glen Breton Rare,Glenora Distillers,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Glenora Distillers The Maccallan,Glenora Distillers,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Half Moon Canadian Whisky,Half Moon Distillery,Canadian Whisky,Canada,Canada,NAS,40,,None,,Official
Highland Park 12 Year Old Canadian Whisky,Highland Park Distillery,Canadian Whisky,Canada,Canada,12,40,Ex-Sherry,Light,,Official
Highwood 100% Rye,Highwood Distillers,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Lot No. 40,Forty Creek Distillery,Canadian Whisky,Canada,Canada,NAS,43,Ex-Bourbon,None,,Official
Nikka Coffey Grain,Nikka,Canadian Whisky,Canada,Canada,NAS,45,Ex-Bourbon,None,,Official
Old Forest Canadian Whisky,Old Forest Distillery,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Pike Creek 10 Year Old,Corby Spirit and Wine,Canadian Whisky,Canada,Canada,10,40,Port,None,,Official
Rendezvous Rye,WhistlePig,Canadian Whisky,Canada,Canada,NAS,50,Ex-Bourbon,None,,Official
Rich and Rare,Rich and Rare,Canadian Whisky,Canada,Canada,NAS,40,Ex-Bourbon,None,,Official
Saskatchewan Rye,Saskatchewan Distillers,Canadian Whisky,Canada,Canada,NAS,40,,None,,Official
Shackleton's Canadian Whisky,Shackleton Distillery,Canadian Whisky,Canada,Canada,NAS,43,Ex-Bourbon,None,,Official
Shelter Point Single Malt,Shelter Point Distillery,Canadian Whisky,Canada,Canada,NAS,43,Virgin Oak,None,,Official
WhistlePig Canadian Rye,WhistlePig,Canadian Whisky,Canada,Canada,NAS,43,Ex-Bourbon,None,,Official
Wiser's 15 Year Old,Hiram Walker,Canadian Whisky,Canada,Canada,15,43,Ex-Bourbon,None,,Official
Wiser's 18 Year Old,Hiram Walker,Canadian Whisky,Canada,Canada,18,45,Ex-Bourbon,None,,Official
Wiser's Legacy,Hiram Walker,Canadian Whisky,Canada,Canada,NAS,42,Ex-Bourbon,None,,Official
Adnams Single Malt,Adnams,Single Malt,England,England,NAS,40,Ex-Bourbon,None,,Official
Berkshire Distillery Single Malt,Berkshire Distillery,Single Malt,England,England,NAS,43,Ex-Bourbon,None,,Official
Bimber Single Malt Whisky,Bimber Distillery,Single Malt,England,England,NAS,46,Ex-Bourbon,None,,Official
Brentwood Distillery Single Malt,Brentwood Distillery,Single Malt,England,England,NAS,41,Ex-Bourbon,None,,Official
Cambridge Distillery Single Malt,Cambridge Distillery,Single Malt,England,England,NAS,50,Ex-Bourbon,None,,Official
Chesterfield Distillery Single Malt,Chesterfield Distillery,Single Malt,England,England,NAS,40,Ex-Bourbon,None,,Official
Cotswolds Single Malt Whisky,Cotswolds Distillery,Single Malt,England,England,NAS,46,Ex-Bourbon,None,,Official
Dartmoor Whisky Single Malt,Dartmoor Distillery,Single Malt,England,England,NAS,43,Ex-Bourbon,None,,Official
Durham Distillery Single Malt,Durham Distillery,Single Malt,England,England,NAS,42,Ex-Bourbon,None,,Official
East London Liquor Company Single Malt,East London Liquor Company,Single Malt,England,England,NAS,43,Ex-Bourbon,None,,Official
Farrago Single Malt,Farrago Distillery,Single Malt,England,England,NAS,50,Ex-Bourbon,None,,Official
Ginn's Farm Distillery Single Malt,Ginn's Farm Distillery,Single Malt,England,England,NAS,48,Ex-Bourbon,None,,Official
Highbury Distillery Single Malt,Highbury Distillery,Single Malt,England,England,NAS,46,Ex-Bourbon,None,,Official
Hinch 10 Year Old Single Malt,Hinch Distillery,Single Malt,England,England,10,43,Ex-Bourbon,None,,Official
Kirkland Signature Single Malt Whisky,Kirkland,Single Malt,England,England,NAS,40,Ex-Bourbon,None,,Official
Lakes Distillery Whiskymaker's Reserve,The Lakes Distillery,Single Malt,England,England,NAS,54.2,Ex-Sherry,None,,Official
New World Whisky Distillery Single Malt,New World Whisky Distillery,Single Malt,England,England,NAS,50,Ex-Bourbon,None,,Official
Sandyhills 5 Year Old,Sandyhills Distillery,Single Malt,England,England,5,43,Ex-Bourbon,None,,Official
Sipsmith Single Malt,Sipsmith Distillery,Single Malt,England,England,NAS,41.6,Ex-Bourbon,None,,Official
Spirit of Yorkshire Filey Bay,Spirit of Yorkshire Distillery,Single Malt,England,England,NAS,46,Ex-Bourbon,None,,Official
St. George's Distillery Chapter 15,St. George's Distillery,Single Malt,England,England,NAS,40,Ex-Bourbon,None,,Official
Thatchers Single Malt,Thatchers,Single Malt,England,England,NAS,43,Ex-Bourbon,None,,Official
The Lakes Single Malt,The Lakes Distillery,Single Malt,England,England,NAS,50,Ex-Bourbon,None,,Official
The Singleton of Glen Ord 12 Year Old,Glen Ord,Single Malt,England,England,12,40,Ex-Bourbon,None,,Official
White Peak Distillery Single Malt,White Peak Distillery,Single Malt,England,England,NAS,43,Ex-Bourbon,None,,Official
Wildcard Distillery Single Malt,Wildcard Distillery,Single Malt,England,England,NAS,42,Ex-Bourbon,None,,Official
Willowbank Distillery Single Malt,Willowbank Distillery,Single Malt,England,England,NAS,45,Ex-Bourbon,None,,Official
A. D. Rattray Single Malt,A. D. Rattray,Single Malt,France,France,NAS,46,,None,,Independent
Alcools de France Single Malt,Alcools de France,Single Malt,France,France,NAS,43,,None,,Official
Apricot Single Malt,Apricot,Single Malt,France,France,NAS,40,,None,,Official
Armorik Classic,Warenghem Distillery,Single Malt,France,France,NAS,46,Ex-Bourbon,None,,Official
Armorik Sherry Cask,Warenghem Distillery,Single Malt,France,France,NAS,46,Ex-Sherry,None,,Official
Bellevoye Triple Cask,Bellevoye,Single Malt,France,France,NAS,43,,None,,Official
Blended Malt de Bretagne,Bretagne,Single Malt,France,France,NAS,40,,None,,Official
Bourgeois Single Malt,Bourgeois,Single Malt,France,France,NAS,40,,None,,Official
Brasserie de La Senne Single Malt,Brasserie de La Senne,Single Malt,France,France,NAS,42,,None,,Official
Brenne 10 Year,Brenne,Single Malt,France,France,10,43,Ex-Bourbon,None,,Official
Brenne Cask 2,Brenne,Single Malt,France,France,4,42,French Oak,None,,Official
Brenne Classique,Brenne,Single Malt,France,France,4,40,French Oak,None,,Official
Brenne Estate Cask,Brenne,Single Malt,France,France,4,40,French Oak,None,,Official
Bretagne Peated Single Malt,Bretagne,Single Malt,France,France,NAS,46,Ex-Bourbon,Medium,,Official
Bretagne Single Malt,Bretagne,Single Malt,France,France,NAS,46,Ex-Bourbon,None,,Official
Cadenhead's 21 Year Old,Cadenhead's,Single Malt,France,France,21,52,,None,,Independent
Cadenhead's Blended Malt,Cadenhead's,Single Malt,France,France,NAS,43,,None,,Independent
Cadenhead's Single Malt Mellow,Cadenhead's,Single Malt,France,France,NAS,45,,None,,Independent
Cadenhead's Small Batch Clynelish 1st Fill,Cadenhead's,Single Malt,France,France,15,54.4,1st Fill Bourbon,None,,Independent
Château de Laubade Single Malt,Château de Laubade,Single Malt,France,France,NAS,43,Ex-Bourbon,None,,Official
Cyril Brivet Single Malt,Cyril Brivet,Single Malt,France,France,NAS,40,,None,,Official
Domaine des Hautes Glaces Single Malt,Domaine des Hautes Glaces,Single Malt,France,France,NAS,43,Ex-Bourbon,None,,Official
Domaine des Malts - Peated Single Malt,Domaine des Malts,Single Malt,France,France,NAS,50,,Medium,,Official
Glenmorangie La Santa,Glenmorangie,Single Malt,France,France,12,46,Ex-Sherry,None,,Official
Glenmoray Classic,Glenmoray,Single Malt,France,France,NAS,40,,None,,Official
Ka-Ve Single Malt,Ka-Ve,Single Malt,France,France,NAS,40,,None,,Official
Malt Whisky de Paris,Distillerie de Paris,Single Malt,France,France,NAS,43,Ex-Bourbon,None,,Official
Pernod Ricard Single Malt,Pernod Ricard,Single Malt,France,France,NAS,42,,None,,Official
Whisky de France,Whisky de France,Single Malt,France,France,NAS,45,Ex-Bourbon,None,,Official
Whisky de Pompier,Pompier,Single Malt,France,France,NAS,43,,None,,Official
Ailsa Bay,William Grant & Sons,Single Malt,Germany,Germany,NAS,48,Virgin Oak,None,,Official
Allgäu Single Malt,Allgäuer Brauhaus,Single Malt,Germany,Germany,6,43,Ex-Bourbon,None,,Official
Baltic Sea Single Malt,Baltic Sea Distillery,Single Malt,Germany,Germany,6,43,Ex-Bourbon,None,,Official
Bayerische Single Malt,Bayerische Staatsbrauerei,Single Malt,Germany,Germany,7,45,Ex-Bourbon,None,,Official
Black Forest Distillers Single Malt,Black Forest Distillers,Single Malt,Germany,Germany,4,43,Ex-Bourbon,None,,Official
Burgundy Cask Single Malt,Burgundy Cask Distillery,Single Malt,Germany,Germany,7,46,Ex-Burgundy,None,,Official
Dornfelder Single Malt,Dornfelder Distillery,Single Malt,Germany,Germany,8,45,Ex-Bourbon,None,,Official
Eau de Vie Single Malt,Eau de Vie Distillery,Single Malt,Germany,Germany,6,45,Ex-Bourbon,None,,Official
Franken Single Malt,Franken Distillery,Single Malt,Germany,Germany,5,40,Ex-Bourbon,None,,Official
Gölles Single Malt,Gölles Distillery,Single Malt,Germany,Germany,4,43,Ex-Bourbon,None,,Official
Hochland Single Malt,Hochland Distillery,Single Malt,Germany,Germany,8,43,Ex-Bourbon,None,,Official
Jungfern Single Malt,Jungfern Distillery,Single Malt,Germany,Germany,4,45,Ex-Bourbon,None,,Official
Kraftwerk Single Malt,Kraftwerk Distillery,Single Malt,Germany,Germany,9,46,Ex-Bourbon,Medium,,Official
Kümmel Single Malt,Kümmel Distillery,Single Malt,Germany,Germany,5,40,Ex-Sherry,None,,Official
Lantenhammer Single Malt,Lantenhammer Distillery,Single Malt,Germany,Germany,3,41,Ex-Bourbon,None,,Official
Lindenhof Single Malt,Lindenhof Distillery,Single Malt,Germany,Germany,7,47,Ex-Bourbon,None,,Official
Mackmyra Svensk Rök,Mackmyra Distillery,Single Malt,Germany,Germany,NAS,46.1,Ex-Bourbon,Light,,Official
Nordic Single Malt,Nordic Distillery,Single Malt,Germany,Germany,8,42,Ex-Bourbon,None,,Official
Rheingau Single Malt,Rheingau Distillery,Single Malt,Germany,Germany,5,46,Ex-Sherry,None,,Official
Schwarzwald Single Malt,Schwarzwald Distillery,Single Malt,Germany,Germany,10,46,Ex-Bourbon,None,,Official
Slyrs 12 Years,Slyrs Distillery,Single Malt,Germany,Germany,12,46,Ex-Bourbon,None,,Official
Slyrs Cask Strength,Slyrs Distillery,Single Malt,Germany,Germany,NAS,58,Ex-Bourbon,None,,Official
Slyrs Single Malt,Slyrs Distillery,Single Malt,Germany,Germany,3,43,Ex-Bourbon,None,,Official
Spreewood Distillers Single Malt,Spreewood Distillers,Single Malt,Germany,Germany,4,47,Ex-Bourbon,None,,Official
Stork Club Single Malt,Stork Club Distillery,Single Malt,Germany,Germany,3,42,Ex-Bourbon,None,,Official
The GlenDronach Single Malt,The GlenDronach Distillery,Single Malt,Germany,Germany,15,46,Ex-Sherry,None,,Official
The Peated Single Malt,The Peated Distillery,Single Malt,Germany,Germany,5,45,Ex-Bourbon,Medium,,Official
Torfbrenner Single Malt,Torfbrenner Distillery,Single Malt,Germany,Germany,5,45,Ex-Bourbon,Light,,Official
Waldhaus 3 Single Malt,Waldhaus Distillery,Single Malt,Germany,Germany,3,42,Ex-Bourbon,None,,Official
Weißbier Single Malt,Weißbier Distillery,Single Malt,Germany,Germany,3,42,Ex-Bourbon,None,,Official
Ziegler Single Malt,Ziegler Distillery,Single Malt,Germany,Germany,10,45,Ex-Bourbon,None,,Official
Amrut Amarone Cask,Amrut Distilleries,Single Malt,India,India,NAS,50,Amarone Wine,None,,Official
Amrut Bourbon Cask,Amrut Distilleries,Single Malt,India,India,NAS,46,Ex-Bourbon,None,,Official
Amrut Fusion,Amrut Distilleries,Single Malt,India,India,NAS,50,Ex-Bourbon and Sherry,None,,Official
Amrut Fusion Peated,Amrut Distilleries,Single Malt,India,India,NAS,50,Ex-Bourbon,Medium,,Official
Amrut Map Label,Amrut Distilleries,Single Malt,India,India,NAS,46,Ex-Bourbon,None,,Official
Amrut Port Cask,Amrut Distilleries,Single Malt,India,India,NAS,50,Port,None,,Official
Amrut Rye,Amrut Distilleries,Single Malt,India,India,NAS,50,Ex-Bourbon,Medium,,Official
Amrut Single Malt,Amrut Distilleries,Single Malt,India,India,NAS,46,Ex-Bourbon,None,,Official
Amrut Single Malt Peated,Amrut Distilleries,Single Malt,India,India,NAS,46,Ex-Bourbon,Medium,,Official
Amrut Single Malt Whisky,Amrut Distilleries,Single Malt,India,India,3,46,Ex-Bourbon,None,,Official
Amrut Spectrum,Amrut Distilleries,Single Malt,India,India,NAS,50,Various,None,,Official
Paul John 15 Year Old,John Distilleries,Single Malt,India,India,15,46,Ex-Bourbon,None,,Official
Paul John Bold,John Distilleries,Single Malt,India,India,NAS,55.5,Ex-Bourbon,Medium,,Official
Paul John Brilliance,John Distilleries,Single Malt,India,India,NAS,46,Ex-Bourbon,None,,Official
Paul John Christmas Edition,John Distilleries,Single Malt,India,India,NAS,46,Ex-Bourbon,None,,Official
Paul John Classic Select Cask,John Distilleries,Single Malt,India,India,NAS,55.2,Ex-Bourbon,None,,Official
Paul John Edited,John Distilleries,Single Malt,India,India,NAS,46,Ex-Bourbon,Light,,Official
Paul John Kanya,John Distilleries,Single Malt,India,India,NAS,55.2,Ex-Bourbon and Oloroso Sherry,None,,Official
Paul John Oloroso Select Cask,John Distilleries,Single Malt,India,India,NAS,55.2,Oloroso Sherry,None,,Official
Paul John Peated Select Cask,John Distilleries,Single Malt,India,India,NAS,55.2,Ex-Bourbon and Oloroso Sherry,Medium,,Official
Paul John Rare Cask,John Distilleries,Single Malt,India,India,NAS,55.2,Ex-Bourbon and Oloroso Sherry,None,,Official
Paul John Single Malt,John Distilleries,Single Malt,India,India,12,46,Ex-Bourbon,None,,Official
Rampur 12 Year Old,Rampur Distillery,Single Malt,India,India,12,43,First Fill Bourbon and Sherry,None,,Official
Rampur Distillery Reserve,Rampur Distillery,Single Malt,India,India,10,45,Ex-Bourbon and Sherry,None,,Official
Rampur Double Cask,Rampur Distillery,Single Malt,India,India,NAS,43,Ex-Bourbon and Sherry,None,,Official
Rampur Indian Single Malt,Rampur Distillery,Single Malt,India,India,NAS,43,Ex-Bourbon,None,,Official
Rampur Indian Single Malt Whisky,Rampur Distillery,Single Malt,India,India,5,43,Ex-Bourbon and Sherry,None,,Official
Rampur Indian Single Malt Whisky Double Cask,Rampur Distillery,Single Malt,India,India,NAS,43,Ex-Bourbon and Sherry,None,,Official
Rampur Select,Rampur Distillery,Single Malt,India,India,6,43,First Fill Bourbon and Sherry,None,,Official
Rampur Select Reserve,Rampur Distillery,Single Malt,India,India,8,46,Ex-Bourbon and Sherry,None,,Official
Sula Single Malt,Sula Vineyards,Single Malt,India,India,NAS,42,Ex-Bourbon,None,,Official
Sula Vineyards Single Malt,Sula Vineyards,Single Malt,India,India,NAS,43,Ex-Bourbon,None,,Official
Ballyhoo 12 Year Old,Ballyhoo Distillery,Irish Whiskey,Ireland,Ireland,12,40,Ex-Bourbon,None,,Official
Ballyhoo Irish Whiskey,Ballyhoo Distillery,Irish Whiskey,Ireland,Ireland,NAS,40,Ex-Bourbon,None,,Official
Ballykeefe Single Malt,Ballykeefe Distillery,Irish Whiskey,Ireland,Ireland,NAS,42,Ex-Bourbon,None,,Official
Ballykeefe Single Malt,Ballykeefe,Irish Whiskey,Ireland,Ireland,NAS,43,Ex-Bourbon,None,,Official
Bushmills 10 Year Old,Bushmills,Irish Whiskey,Ireland,Ireland,10,40,Ex-Bourbon,None,,Official
Bushmills 21 Year Old,Bushmills,Irish Whiskey,Ireland,Ireland,21,40,Ex-Sherry,None,,Official
Clontarf 10 Year Old,Clontarf,Irish Whiskey,Ireland,Ireland,10,40,Ex-Bourbon,None,,Official
Clontarf 1014 Single Malt,Clontarf,Irish Whiskey,Ireland,Ireland,NAS,40,Ex-Bourbon,None,,Official
Connemara 12 Year Old,Cooley,Irish Whiskey,Ireland,Ireland,12,40,Ex-Bourbon,Medium,,Official
Connemara Peated Single Malt,Cooley,Irish Whiskey,Ireland,Ireland,NAS,40,Ex-Bourbon,Medium,,Official
Dingle 3 Year Old,Dingle Distillery,Irish Whiskey,Ireland,Ireland,3,46.3,Ex-Bourbon,None,,Official
Dingle Single Malt,Dingle Distillery,Irish Whiskey,Ireland,Ireland,NAS,46.3,Ex-Bourbon/Ex-Sherry,None,,Official
Dingle Single Malt,Dingle,Irish Whiskey,Ireland,Ireland,NAS,46.3,"Ex-Bourbon, Ex-Sherry",None,,Official
Dingle Single Malt Batch 1,Dingle Distillery,Irish Whiskey,Ireland,Ireland,NAS,46.3,"Ex-Bourbon, Ex-Sherry",None,,Official
Dingle Single Malt Batch 1,Dingle,Irish Whiskey,Ireland,Ireland,NAS,46.3,"Ex-Bourbon, Ex-Sherry",None,,Official
Dingle Single Malt Batch 2,Dingle Distillery,Irish Whiskey,Ireland,Ireland,NAS,46.3,"Ex-Bourbon, Ex-Sherry",None,,Official
Dingle Single Malt Batch 2,Dingle,Irish Whiskey,Ireland,Ireland,NAS,46.3,"Ex-Bourbon, Ex-Sherry",None,,Official
Dingle Single Malt Batch 3,Dingle Distillery,Irish Whiskey,Ireland,Ireland,3,50,"Ex-Bourbon, Ex-Sherry",None,,Official
Dingle Single Malt Batch 3,Dingle,Irish Whiskey,Ireland,Ireland,NAS,46.3,"Ex-Bourbon, Ex-Sherry",None,2021,Official
Glendalough 13 Year Old Single Malt,Glendalough,Irish Whiskey,Ireland,Ireland,13,42,"Ex-Bourbon, Ex-Sherry",None,,Official
Glendalough 13 Year Old Single Malt,Glendalough Distillery,Irish Whiskey,Ireland,Ireland,13,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Glendalough 7 Year Old Single Malt,Glendalough Distillery,Irish Whiskey,Ireland,Ireland,7,42,"Ex-Bourbon, Ex-Sherry",None,,Official
Glendalough 7 Year Old Single Malt,Glendalough,Irish Whiskey,Ireland,Ireland,7,43,Ex-Bourbon,None,,Official
Green Spot,Midleton,Irish Whiskey,Ireland,Ireland,NAS,40,Ex-Bourbon/Ex-Sherry,None,,Official
Green Spot Chateau Montelena,Midleton,Irish Whiskey,Ireland,Ireland,NAS,46,"Ex-Bourbon, Ex-Wine",None,,Official
Green Spot Château Montelena,Midleton,Irish Whiskey,Ireland,Ireland,NAS,46,"Ex-Bourbon, French Oak",None,,Official
Jameson 12 Year Old,Midleton,Irish Whiskey,Ireland,Ireland,12,40,Ex-Bourbon,None,,Official
Jameson 18 Year Old Limited Reserve,Midleton,Irish Whiskey,Ireland,Ireland,18,40,"Ex-Bourbon, Ex-Sherry",None,,Official
Jameson Caskmates Stout Edition,Midleton,Irish Whiskey,Ireland,Ireland,NAS,40,Ex-Bourbon,None,,Official
Kilbeggan 15 Year Old,Kilbeggan Distillery,Irish Whiskey,Ireland,Ireland,15,43,"Ex-Bourbon, Ex-Sherry",None,,Official
Kilbeggan 15 Year Old,Kilbeggan,Irish Whiskey,Ireland,Ireland,15,43,Ex-Bourbon,None,,Official
Kilbeggan 8 Year Old,Kilbeggan Distillery,Irish Whiskey,Ireland,Ireland,8,40,Ex-Bourbon,None,,Official
Kilbeggan 8 Year Old,Kilbeggan,Irish Whiskey,Ireland,Ireland,8,40,Ex-Bourbon,None,,Official
Kilbeggan Single Malt,Kilbeggan Distillery,Irish Whiskey,Ireland,Ireland,10,40,Ex-Bourbon,None,,Official
Knappogue Castle 12 Year Old,Knappogue Castle,Irish Whiskey,Ireland,Ireland,12,40,Ex-Bourbon,None,,Official
Knappogue Castle 12 Year Old,Knappogue,Irish Whiskey,Ireland,Ireland,12,40,Ex-Bourbon,None,,Official
Knappogue Castle 14 Year Old,Knappogue Castle,Irish Whiskey,Ireland,Ireland,14,46,Ex-Bourbon,None,,Official
Knappogue Castle 14 Year Old,Knappogue,Irish Whiskey,Ireland,Ireland,14,43,Ex-Bourbon,None,,Official
Knappogue Castle 16 Year Old,Knappogue Castle,Irish Whiskey,Ireland,Ireland,16,43,Ex-Bourbon,None,,Official
Knappogue Castle 16 Year Old,Knappogue,Irish Whiskey,Ireland,Ireland,16,40,Ex-Bourbon,None,,Official
Midleton Barry Crockett Legacy,Midleton,Irish Whiskey,Ireland,Ireland,NAS,46,Ex-Bourbon/Ex-Sherry,None,,Official
Midleton Dair Ghaelach,Midleton,Irish Whiskey,Ireland,Ireland,NAS,58.2,Ex-Bourbon,None,,Official
Mullingar 12 Year Old,Mullingar Distillery,Irish Whiskey,Ireland,Ireland,12,43,Ex-Bourbon,None,,Official
Old Bushmills 16 Year Old,Bushmills,Irish Whiskey,Ireland,Ireland,16,40,Ex-Sherry,None,,Official
Power's Gold Label,Midleton,Irish Whiskey,Ireland,Ireland,NAS,43,Ex-Bourbon,None,,Official
Powers John's Lane Release,Midleton,Irish Whiskey,Ireland,Ireland,12,46,"Ex-Bourbon, Ex-Sherry",None,,Official
Redbreast 12 Year Old,Midleton,Irish Whiskey,Ireland,Ireland,12,40,Ex-Sherry,None,,Official
Redbreast 15 Year Old,Midleton,Irish Whiskey,Ireland,Ireland,15,46,Ex-Sherry,None,,Official
Redbreast 21 Year Old,Midleton,Irish Whiskey,Ireland,Ireland,21,46,Ex-Sherry,None,,Official
Redbreast Lustau Edition,Midleton,Irish Whiskey,Ireland,Ireland,NAS,46,Ex-Sherry,None,,Official
Slane Irish Whiskey,Slane Distillery,Irish Whiskey,Ireland,Ireland,NAS,40,"Ex-Bourbon, Ex-Sherry",None,,Official
